id_solicitante,idade,salario,situacao_imovel,tempo_trabalho,motivo_emprestimo,pontuacao_emprestimo,valor_solicitado,taxa_juros,possibilidade_inadimplencia,percentual_renda,tempo_historico_solicitacoes,adimplente
nosvkci9-czvw,24,35364,Alugado,1,Médico,B,20000,12.53,1,0.57,4,N
mpfjps76-gpmh,23,80000,Alugado,6,Empreendimento,A,6500,7.51,0,0.08,3,N
ltfauz4n-xaqg,26,38340,Hipotecada,7,Pessoal,B,2500,12.18,1,0.07,4,N
9fdlodgy-lpzf,23,60000,Própria,2,Médico,D,18500,15.33,0,0.31,2,N
hbbkuiqb-kkxs,27,87360,Hipotecada,NULL,"Reforma residencial",B,7000,10.36,0,0.08,6,N
7jh0h7cx-oshr,22,50000,Própria,3,Educação,A,5000,7.29,0,0.1,4,N
9iexepwm-nx0w,25,50000,Alugado,3,Pessoal,D,4000,14.61,0,0.08,4,S
eolxohb9-cic1,31,45000,Hipotecada,16,Empreendimento,B,6000,10.99,0,0.13,10,N
78mwsdqx-zu0s,32,62000,Hipotecada,3,Educação,B,20000,11.36,0,0.32,9,N
qgnbmxrq-2n1q,22,36000,Própria,6,Educação,B,14500,10.99,0,0.4,3,N
1yiiuvwp-qwex,55,54000,Alugado,4,"Pegamento de dívidas",C,1000,13.99,1,0.02,27,N
ir0c0w8h-lijw,22,24000,Alugado,0,"Pegamento de dívidas",C,5200,13.49,0,0.22,2,S
sipdzwms-ou2b,21,45176,Alugado,1,Médico,B,12000,11.49,0,0.27,3,N
cl6wl8b4-ngpp,32,86400,Hipotecada,16,Médico,A,8000,6.03,0,0.09,10,N
8tymudgk-cbw5,NULL,45204,Hipotecada,4,NULL,A,11700,10.74,0,0.26,2,N
d4aitper-zshn,23,84000,Alugado,1,Empreendimento,A,10000,7.49,0,0.12,4,N
uuxfzcc3-yree,31,60000,Hipotecada,5,Médico,A,7200,6.03,0,0.12,8,N
dmi1zv3m-agoo,23,45000,Alugado,4,Educação,A,9000,5.99,0,0.2,3,N
035br3xf-elrk,22,26000,Própria,2,Educação,A,7100,7.49,0,0.27,2,N
qwbjbqys-nqok,25,87000,Alugado,6,"Pegamento de dívidas",A,13000,7.29,0,0.15,2,N
xxckiscf-h9kc,34,91000,Alugado,11,Médico,B,25000,11.36,0,0.27,5,N
nnbokjqy-6ncg,27,125000,Hipotecada,1,"Reforma residencial",A,24000,6.91,0,0.19,8,N
xgrcodso-o1xh,22,41000,Alugado,2,"Pegamento de dívidas",D,3600,16.77,1,0.09,3,S
2oi8vhlb-b58y,23,32388,Hipotecada,0,Educação,B,6000,10.71,0,0.19,4,N
dp9rysti-bxfc,29,45324,Hipotecada,4,Pessoal,D,15150,14.54,0,0.33,10,N
dp9o0ovk-lr6a,36,37008,Alugado,8,Empreendimento,C,6000,14.79,0,0.16,14,S
u3gslg9i-wn8g,44,82000,Hipotecada,5,"Pegamento de dívidas",C,8400,12.84,1,0.1,17,S
pygu8axh-bryq,23,79996,Hipotecada,2,Educação,E,24000,16.32,0,0.3,3,S
pxmpknrd-hf2u,28,39000,Alugado,3,Empreendimento,B,5000,10.25,0,0.13,10,N
rnzwwxtn-iexq,22,45000,Hipotecada,6,Empreendimento,A,7000,8.94,0,0.16,3,N
0mg5qcvx-xuza,21,27996,Hipotecada,5,Educação,A,10000,9.63,0,0.36,4,N
tdwa1bbb-aekr,26,36000,Alugado,5,Médico,B,8550,10.25,1,0.24,2,N
mjtkzxgi-s8zt,26,50000,Alugado,2,Empreendimento,A,7000,9.63,0,0.14,2,N
udkralzv-wscf,22,80000,Alugado,1,Educação,B,18000,10.99,0,0.23,4,N
saeuimfs-ixat,35,50000,Hipotecada,5,"Reforma residencial",C,6000,13.49,0,0.12,6,N
ufjprjye-am5e,22,12600,Alugado,2,Pessoal,B,4000,10.37,1,0.32,4,N
scv13rhg-wlku,22,48000,Hipotecada,6,"Pegamento de dívidas",A,4400,5.99,0,0.09,3,N
4r0gkvs0-1a9y,26,85000,Hipotecada,8,Médico,A,15000,7.88,0,0.18,4,N
cfeehbyx-akl2,25,45000,Hipotecada,7,Educação,A,7500,8,0,0.17,3,N
esqny2eu-a4u3,23,30000,Alugado,0,Pessoal,B,1925,12.18,0,0.06,2,N
fkfioptz-a326,28,43200,Alugado,1,Médico,A,3000,7.49,0,0.07,9,N
mrfz1v2w-stbt,24,225000,Alugado,0,Médico,B,6000,NULL,0,0.03,4,N
fofr3ccb-o3n2,33,97000,Hipotecada,15,Pessoal,A,20000,6.17,0,0.21,8,N
kqkn9ihk-fnso,26,60000,Hipotecada,8,"Reforma residencial",B,12000,10.65,0,0.2,2,N
tu1s3qw3-zulj,NULL,40800,Hipotecada,7,NULL,C,8500,NULL,0,0.23,6,N
fug8peh2-a1tg,28,76000,Alugado,2,Médico,B,8500,NULL,0,0.11,5,N
4eazfnnk-lay0,28,22000,Própria,5,Educação,A,8000,6.99,0,0.36,5,N
01myic8o-5ssx,22,45000,Alugado,3,Empreendimento,B,5000,12.42,0,0.11,2,N
xsxlwtq3-4ua1,26,65219,Alugado,11,"Pegamento de dívidas",D,21000,14.09,1,0.32,3,N
zkhbxo2u-wqgh,23,70000,Hipotecada,5,Educação,B,20000,12.21,0,0.29,4,N
3negomzb-u95m,30,34000,Alugado,0,Médico,D,6500,16.32,0,NULL,10,NULL
nf9olkav-bwwl,34,25200,Alugado,NULL,Empreendimento,A,3000,7.66,0,0.12,8,N
0xbuo6dd-m6fa,38,34296,Própria,1,Médico,C,12000,NULL,0,0.35,12,S
pxijud4p-urzm,30,57000,Hipotecada,2,Empreendimento,A,6000,7.51,0,0.11,8,N
tnln3bys-t6d6,27,102000,Hipotecada,9,Pessoal,A,6000,7.49,0,0.06,9,N
xulqslp8-ajfc,25,31200,Hipotecada,3,Médico,A,11200,5.42,0,0.36,2,N
tu0n0zh2-omju,35,32900,Alugado,4,"Reforma residencial",C,4800,13.23,1,0.15,9,S
tamwu9yu-qjz5,32,58000,Alugado,4,Pessoal,B,12000,11.26,0,0.21,10,N
qydaxekz-irai,24,29232,Hipotecada,1,NULL,B,6000,NULL,1,NULL,3,N
q6ky6utp-7hjb,30,67000,Hipotecada,6,"Reforma residencial",A,10000,6.99,0,0.15,6,N
k6pfhk7p-nwqe,26,80000,Hipotecada,10,Pessoal,B,25000,10.62,0,0.31,4,N
frxew1fg-c8nb,25,42996,Própria,1,Empreendimento,D,7200,14.11,0,0.17,4,N
s75pwmda-xzk8,24,56000,Hipotecada,2,Educação,C,5250,12.87,0,0.09,2,N
vgjabh5z-llw7,39,18300,Alugado,0,Educação,D,1200,14.74,1,0.07,17,N
hynz400d-rzsb,22,60000,Própria,7,Empreendimento,D,15000,16.49,0,0.25,2,S
lmwskarr-hya3,21,41900,Alugado,2,Empreendimento,C,16000,12.84,1,0.38,2,S
gf79eym4-xcmp,22,32000,Alugado,1,Educação,D,5400,16.29,1,0.17,2,S
0aeyhoxq-8yck,24,40944,Alugado,0,Médico,B,8200,11.36,0,0.2,4,N
b9wkkajn-gmdv,30,30000,Hipotecada,3,"Reforma residencial",B,4400,11.99,1,0.15,5,N
rab9ff8j-xyqi,23,60000,Alugado,0,Empreendimento,A,8400,7.49,0,0.14,3,N
zkgrt1as-sd9f,27,30000,Alugado,5,Pessoal,B,4975,10.37,0,0.17,10,N
y5iktna2-ngje,22,105000,Hipotecada,6,"Pegamento de dívidas",B,12800,11.83,0,0.12,3,N
rstyrrcx-8t7e,27,67200,Alugado,0,Pessoal,A,8000,6.03,0,0.12,5,N
ifuqbt43-oziu,26,110000,Alugado,10,Educação,A,NULL,NULL,NULL,0.3,2,N
6gvkmno6-uuqj,27,55200,Própria,4,Educação,B,4000,NULL,0,0.07,10,N
nnillnbk-lpgm,35,95028,Alugado,2,"Reforma residencial",D,5000,14.42,1,0.05,6,S
ygzhwn7w-qxry,22,48000,Alugado,2,"Pegamento de dívidas",A,9000,7.88,0,0.19,2,N
d00twglh-krqw,22,71004,Alugado,6,Educação,B,1800,11.12,0,0.03,4,N
yd73uwzc-c3ty,26,47000,Alugado,0,Pessoal,B,8000,10,0,0.17,4,N
dwgtxzy6-3ci7,26,75000,Própria,10,Empreendimento,B,7000,10.59,0,0.09,4,N
nd27xibx-lxud,32,160000,Hipotecada,2,Médico,B,3200,NULL,0,0.02,5,N
y8kjzlrl-hjyn,24,55152,Hipotecada,8,Educação,B,16000,11.49,0,0.29,4,N
ydx4l0sj-lzmg,25,52000,Alugado,9,Médico,C,17000,12.98,1,0.33,2,S
te2mmb33-ztt7,34,89000,Alugado,3,"Reforma residencial",D,35000,18.25,1,0.39,8,N
5lokamjf-t6if,26,80000,Alugado,0,"Reforma residencial",A,8000,5.99,0,0.1,2,N
o6meltk2-d6w8,36,24000,Hipotecada,2,"Pegamento de dívidas",A,1500,9.63,0,0.06,16,N
j11es0ry-hgqj,31,78000,Alugado,1,Educação,A,14000,9.63,0,0.18,5,N
hhxkobfz-wex8,23,65000,Alugado,0,Educação,B,10000,11.49,0,0.15,4,N
zmlj5ix7-j34z,24,96408,Alugado,1,Educação,C,7700,12.53,0,0.08,4,S
etwcobc2-aknm,29,48000,Alugado,2,Pessoal,B,15000,11.36,1,0.31,8,N
jdabr4yh-aglt,31,201000,Hipotecada,3,Pessoal,B,15000,11.12,0,0.07,5,N
mbdqkxxn-w09h,25,42000,Hipotecada,3,"Reforma residencial",A,10000,5.42,0,0.24,2,N
ectztem8-ytwt,21,55000,Hipotecada,5,Educação,A,10500,7.51,0,0.19,3,N
8qh5ffkt-r14r,26,165000,Hipotecada,10,Educação,C,20000,13.22,0,0.12,4,S
aepsjagl-h3fu,29,48000,Hipotecada,13,Pessoal,B,20000,NULL,0,0.42,9,N
0ukl0auq-byji,41,33000,Alugado,2,Médico,C,13750,13.79,1,0.42,11,S
jab41joc-krzf,29,89004,Hipotecada,2,Educação,D,4800,14.11,0,0.05,8,S
ctuwt8ks-arbj,23,69000,Alugado,7,"Pegamento de dívidas",B,4800,10.75,0,0.07,2,N
trr4xfib-t7jj,23,86000,Alugado,0,Empreendimento,B,4800,9.62,0,0.06,3,N
zweyhyhu-qh6i,48,32304,Hipotecada,22,Médico,B,15000,9.63,0,0.46,17,N
yb4wzwh7-cd6d,49,74000,Hipotecada,20,"Pegamento de dívidas",E,12000,17.99,1,0.16,15,N
4nrcsszj-kxcy,24,74400,Alugado,1,Médico,A,3500,7.29,0,0.05,3,N
bjnvnbyl-bula,25,155000,Hipotecada,9,Médico,A,18000,7.51,0,0.12,2,N
8ewfypgl-emm6,23,24000,Alugado,0,Educação,B,6250,12.53,0,0.26,3,N
yihuehgl-ewpc,29,175000,Hipotecada,2,"Reforma residencial",A,10000,NULL,0,0.06,9,N
rg3nftra-aqcu,22,62000,Hipotecada,5,Médico,B,3000,8.7,0,0.05,3,N
luggeygo-6aiw,28,30000,Alugado,7,Empreendimento,B,10000,10.38,1,0.33,5,N
wjrdk1p5-jmah,22,88620,Hipotecada,6,"Pegamento de dívidas",A,24000,6.62,0,0.27,3,N
ht2vfybe-q3yy,31,36572,Alugado,NULL,Médico,A,7900,NULL,0,0.22,7,N
wum1jfre-u3o4,39,78000,Alugado,3,"Reforma residencial",D,25000,16.02,1,0.32,17,N
siajtjgv-sxs4,23,54000,Alugado,8,Empreendimento,B,12000,11.36,0,0.22,2,N
brm1bynd-gavl,36,60000,Alugado,0,"Reforma residencial",C,15000,13.57,0,0.25,12,N
hbn6nj78-fvgu,26,31200,Alugado,8,Pessoal,A,5000,8.63,0,0.16,2,N
t59apc2m-yyfd,30,28800,Alugado,1,"Pegamento de dívidas",C,8000,12.73,0,0.28,10,N
qocqmw7e-csem,24,60000,Alugado,8,Pessoal,D,20000,13.87,1,0.33,4,N
bymg43fi-mvaj,21,40000,Alugado,3,Educação,D,7000,14.46,0,0.17,3,N
l3gjzx2d-fl9r,23,70000,Hipotecada,7,Educação,C,2000,13.49,0,0.03,2,S
fkl19xpm-0vet,38,17108,Hipotecada,7,Educação,A,4375,7.51,1,0.26,17,N
sierzej2-jrnv,22,132000,Hipotecada,3,Médico,A,10000,7.66,0,0.08,2,N
jxcz24oq-isbh,26,120000,Alugado,11,"Reforma residencial",C,10000,12.68,0,0.08,2,N
flpzfspk-buul,23,54500,Alugado,2,"Pegamento de dívidas",A,8000,NULL,0,0.15,2,N
yrwuetvk-7fqp,27,NULL,Hipotecada,10,Médico,A,NULL,12.69,0,0.11,4,N
tisygu9a-jdvt,26,54011,Alugado,10,Educação,D,9500,16.29,0,0.18,2,N
itfhiavf-8dfb,43,62000,Hipotecada,2,Educação,B,20000,10.25,0,0.32,14,N
uscp7wo3-zhej,24,31776,Alugado,6,Empreendimento,A,4700,8.94,0,0.15,3,N
c7ox7owg-4sj1,54,154000,Hipotecada,1,Pessoal,B,12000,12.69,0,0.08,26,N
qwrfwg1h-481a,27,38500,Alugado,0,"Pegamento de dívidas",B,11500,12.42,0,0.3,9,N
oh6p4why-owlc,26,40272,Hipotecada,3,Educação,B,10000,11.86,0,0.25,3,N
thhovzu7-yayc,29,220000,Hipotecada,13,"Pegamento de dívidas",B,8500,10.37,0,0.04,5,N
lhebx3eh-5lqs,32,60000,Alugado,0,Pessoal,B,10000,12.42,0,0.17,9,N
drjgbmlm-aycg,22,12000,Alugado,0,Educação,A,6700,7.66,1,0.56,4,N
1ocpbjsj-z6di,31,135000,Hipotecada,12,Educação,C,15000,13.85,0,0.11,9,S
5ouubl9g-lagr,24,59964,Hipotecada,0,"Pegamento de dívidas",B,1275,10.99,1,0.02,4,N
kz2fxubs-rbww,25,13440,Alugado,3,Médico,A,6000,7.49,1,0.45,3,N
pmtksngj-yq49,63,37000,Alugado,24,"Pegamento de dívidas",C,5450,15.96,1,0.15,22,N
kkhzbjrl-hf6l,24,103000,Hipotecada,8,"Reforma residencial",B,6400,10.37,0,0.06,3,N
9mgj0yje-ocze,26,66400,Alugado,6,Médico,A,6000,7.29,0,0.09,4,N
ymws45se-ti4d,23,60000,Alugado,1,"Pegamento de dívidas",A,9000,7.51,0,0.15,3,N
9egpwwli-zs59,24,49920,Alugado,0,Médico,C,7200,13.06,0,0.14,3,S
1q7ums6k-fakg,24,66000,Hipotecada,8,Pessoal,D,15000,18.25,0,0.23,4,N
wpasb5mk-kq19,24,28800,Hipotecada,5,"Pegamento de dívidas",C,5500,NULL,0,0.19,3,S
qel2bnkj-wulr,26,30000,Alugado,4,"Pegamento de dívidas",B,12000,11.11,1,0.4,3,N
qxi8vjsm-lqdj,31,46000,Alugado,6,Médico,D,9600,14.46,1,0.21,5,S
p71f1fgb-fhrz,24,43275,Alugado,4,Médico,C,17000,13.47,1,0.39,3,N
cbfah5sl-ecad,36,28000,Hipotecada,1,Empreendimento,D,3075,15.62,1,0.11,12,S
e71wtipj-vgeb,41,58000,Alugado,16,Pessoal,C,7500,11.03,0,0.13,16,S
tgjbpatw-yzcw,29,50004,Hipotecada,5,Pessoal,A,10000,5.99,0,0.2,5,N
4epesq0q-ypat,22,76296,Hipotecada,6,Empreendimento,A,18000,7.88,0,0.24,3,N
rbytevth-r8nh,25,85000,Alugado,NULL,Médico,E,1000,7.51,0,0.03,17,N
czwcngwa-kbk4,26,87000,Hipotecada,9,"Pegamento de dívidas",C,25000,12.73,0,0.29,2,N
lnh1ioty-ul1g,23,77004,Hipotecada,6,Médico,A,12000,5.79,0,0.16,3,N
bzj571nm-dzuf,26,32500,Hipotecada,8,"Pegamento de dívidas",C,3000,13.22,0,0.09,3,S
26zbu975-ra7s,32,33600,Própria,0,Empreendimento,D,8000,16.02,0,0.24,8,N
uuanesmm-kkp1,23,24996,Própria,1,Educação,B,8000,11.26,0,0.32,2,N
0z1dfz7t-2fig,23,110000,Alugado,3,Educação,B,20000,12.42,0,0.18,3,N
nm26knmn-ps1c,23,44000,Alugado,2,Médico,C,6000,14.22,0,0.14,4,S
vvpuvq4o-bzzd,22,81800,Hipotecada,6,Educação,A,2500,6.39,0,0.03,2,N
hnn6grnl-fkng,24,75000,Hipotecada,9,"Reforma residencial",A,11500,5.42,0,0.15,2,N
p7ehdrpl-mam7,23,74000,Alugado,7,"Reforma residencial",A,7000,6.03,1,0.09,3,N
g7oukexh-i6rp,34,29004,Alugado,9,Educação,B,10000,11.83,1,0.34,5,N
vnroghy6-xeto,24,45000,Alugado,0,"Pegamento de dívidas",D,4000,15.99,1,0.09,4,N
it8a0dyg-wtjx,24,26000,Alugado,3,Médico,B,7850,9.96,0,0.3,2,N
gefydkaq-8huh,30,36996,Alugado,5,Educação,A,10000,8.9,0,0.27,6,N
yakfumez-dob4,25,95004,Hipotecada,9,Educação,A,18000,7.51,0,0.19,4,N
38g2wqak-9euk,24,48000,Hipotecada,7,Médico,A,12000,7.29,0,0.25,3,N
bsjymp00-xxso,23,65000,Hipotecada,7,Educação,A,10500,6.03,0,0.16,4,N
fpn1zo1t-q42a,25,68000,Hipotecada,9,"Pegamento de dívidas",B,8000,NULL,0,0.12,3,N
nuw23wgh-n5i0,24,37000,Alugado,2,Médico,A,2000,5.42,0,0.05,4,N
qeleeglt-jdn0,38,55000,Própria,5,NULL,A,5300,NULL,0,0.17,7,N
vmhi5zpf-axmj,NULL,44208,Alugado,NULL,Médico,A,10000,7.88,0,0.15,2,N
tmwmp232-jgoq,25,55000,NULL,10,Educação,C,5000,12.62,0,0.1,3,N
mlg7mk92-eif0,24,72000,Hipotecada,8,Educação,C,14000,14.65,1,0.19,4,S
nzh1xocs-sssq,23,75000,Hipotecada,7,Empreendimento,B,15000,10.38,0,0.2,3,N
ujtfmke5-waxf,22,75000,Alugado,6,Educação,B,24000,12.69,1,0.32,4,N
pb5pc17m-7zjr,29,80000,Alugado,5,Médico,B,12500,11.71,0,0.16,7,N
lj3rrrdr-nblm,42,54000,Alugado,4,"Pegamento de dívidas",C,16000,12.87,1,0.3,14,S
nq9qdgkb-tbne,23,44000,Hipotecada,0,Médico,A,5500,6.17,0,0.13,4,N
begwkaql-b1gg,32,NULL,Alugado,NULL,Médico,A,12000,14.54,0,0.27,2,N
mrqaivlb-z6as,24,35000,Hipotecada,3,Médico,C,15000,14.27,0,0.43,2,N
jjyojefm-gwlq,24,48000,Alugado,6,Educação,,6000,10.62,0,0.1,2,NULL
nosaboqk-zqou,22,47940,Hipotecada,4,"Pegamento de dívidas",B,15000,NULL,0,0.31,4,N
jbgeycmt-ktfc,23,90000,Alugado,0,"Pegamento de dívidas",C,8000,13.35,0,0.09,3,S
bo2mwf7f-ttmc,24,85000,Hipotecada,3,"Reforma residencial",A,NULL,NULL,0,0.1,2,N
yifwx5cc-trmu,25,74800,Alugado,2,Médico,B,5000,12.69,NULL,NULL,3,N
qauqpgfx-zpyk,22,76000,NULL,0,Educação,C,8700,NULL,0,0.13,5,N
qyicdcpp-dji9,23,29376,Alugado,3,Empreendimento,A,5950,7.66,0,0.2,2,N
vx0220al-n1xc,28,48000,Alugado,5,"Pegamento de dívidas",B,15000,11.99,1,0.31,10,N
mco0wgtr-gkyt,22,22560,Alugado,3,Pessoal,D,4200,15.2,1,0.19,4,S
x7cblgov-b1ru,26,20004,Hipotecada,4,"Reforma residencial",B,3600,NULL,0,0.18,4,N
nwtpaosg-l0kw,30,71000,Alugado,2,"Reforma residencial",A,12000,8.9,0,0.17,8,N
rghujv2l-6uqx,21,45000,Alugado,3,Médico,B,9600,12.18,0,0.21,3,N
eau70zhd-y56p,30,45000,Alugado,2,Educação,A,13250,7.9,0,0.29,9,N
ji3ffcux-uc4l,23,24000,Própria,0,Educação,A,7000,7.14,0,0.29,3,N
5deb5det-okap,33,54000,Alugado,15,"Pegamento de dívidas",B,10000,10.99,0,0.19,8,N
jdcofmqx-ncqa,34,41004,Hipotecada,5,"Reforma residencial",C,16000,11.78,0,0.39,5,N
k5l32zya-g9wd,25,120000,Alugado,3,Pessoal,B,12000,9.01,0,0.1,2,N
eeensg03-h61e,43,72800,Hipotecada,7,"Reforma residencial",C,20000,12.84,0,0.27,12,S
cejbzaro-oiw9,31,68000,Hipotecada,15,Pessoal,A,13600,7.88,0,0.2,9,N
hzfmujqa-chtj,25,70000,Hipotecada,1,"Pegamento de dívidas",C,11300,14.65,0,0.16,2,S
ywzp6trb-fhub,28,30422,Própria,12,Pessoal,A,5000,8.49,0,0.16,9,N
mqut8h9f-rybk,32,32678,Hipotecada,10,"Pegamento de dívidas",C,3075,15.23,0,0.09,6,N
gpn8g5iu-d5c6,36,69000,Alugado,20,Empreendimento,,12000,NULL,0,NULL,2,N
c6fypsut-dran,26,35000,Própria,NULL,Pessoal,B,7200,11.11,0,0.21,4,N
jqoltuoq-hztm,22,49000,Hipotecada,6,Empreendimento,A,4000,8.94,0,0.08,2,N
af2guhuh-sea2,23,90000,Alugado,4,Empreendimento,A,10000,7.51,0,0.11,2,N
crww9f3v-lkde,37,35000,NULL,NULL,Médico,A,14900,13.57,0,NULL,3,N
lodel90q-jecm,24,48000,Alugado,8,Médico,C,4000,5.99,NULL,0.07,6,N
i0hgohxx-i1ei,29,37000,Alugado,1,Médico,B,6500,NULL,0,0.18,8,N
isjjtquu-fqhg,26,127000,Hipotecada,10,Educação,A,6000,5.42,0,0.05,3,N
xe84walq-ox7u,29,58000,Hipotecada,8,"Pegamento de dívidas",A,1800,6.76,0,0.03,8,N
ydlhzccs-7yrg,32,25000,Alugado,4,Médico,C,11700,12.68,1,0.47,10,S
4bl5jp7f-8rlm,24,65158,Hipotecada,9,Empreendimento,B,18000,10.25,0,0.28,4,N
gyihz9ao-x50v,31,72000,Alugado,6,"Pegamento de dívidas",B,21000,11.99,1,0.29,6,N
yryhn8wc-pnnu,37,70000,Hipotecada,3,Educação,D,15000,15.2,0,0.21,15,N
w6r2hyro-sfyn,26,20000,Hipotecada,1,Pessoal,A,1500,7.74,0,0.07,3,N
xu2qepyx-imu3,27,58000,Alugado,11,Empreendimento,A,7000,NULL,0,0.12,9,N
lkiw2wbb-7oib,25,46000,Hipotecada,5,Educação,B,23500,10.25,0,0.51,4,N
uydegout-dwno,37,42000,Alugado,0,Médico,A,12000,NULL,0,0.29,13,N
bdr7lmts-bynr,35,35000,Hipotecada,5,Educação,B,5600,11.49,0,0.16,6,N
vernjgml-xcsy,24,60000,Própria,9,"Reforma residencial",B,15000,11.83,0,0.25,3,N
om8wnigy-ibdm,26,114000,Hipotecada,10,Pessoal,A,14400,7.14,0,0.13,2,N
i8zaxfch-zvnb,23,50000,Alugado,4,Empreendimento,B,18225,10.74,1,0.36,3,N
2ql2tpca-3uo0,26,108000,Hipotecada,4,Pessoal,A,9000,5.79,0,0.08,2,N
ko1dkzep-6ine,36,15000,Própria,2,Pessoal,C,5000,13.92,1,0.33,15,S
2vy9z5iw-q3gn,29,NULL,NULL,11,Médico,A,4500,17.99,1,0.19,3,S
sldld5qp-geqz,24,74700,Hipotecada,4,Empreendimento,B,19750,11.12,0,0.26,3,N
ntokgzct-ypud,29,115000,Hipotecada,3,Médico,C,22000,15.23,0,0.19,7,S
yimhvzno-e1lp,24,58000,Alugado,3,Empreendimento,C,6000,12.87,0,0.1,2,S
fbaa7wnq-zmrw,21,18000,Alugado,2,Pessoal,B,4500,10.38,1,0.25,2,N
aaduh9ug-p1by,25,191000,Hipotecada,1,Médico,B,10000,12.53,0,0.05,4,N
tge5b4go-dt74,24,145000,Hipotecada,0,Pessoal,B,7000,10.99,0,0.05,2,N
ie8gfgzm-cnr9,53,28000,Alugado,2,"Pegamento de dívidas",C,7000,6,0,0.25,26,N
ixun7ylq-enpm,27,90000,Alugado,4,"Reforma residencial",A,19200,6.99,0,0.21,8,N
mtksqfyc-lkkm,26,35000,Alugado,10,Educação,B,12875,NULL,1,0.37,3,N
1pluc0s7-34sy,24,87996,Alugado,8,"Pegamento de dívidas",D,10000,14.84,1,0.11,2,S
cnpiqoln-27uf,36,72000,Própria,5,Empreendimento,B,6000,11.36,0,0.08,17,N
wipk7gev-gmyy,27,97000,Hipotecada,11,Pessoal,B,3600,9.25,0,0.04,7,N
pppsn2do-t8nc,23,48000,Hipotecada,7,Empreendimento,A,14125,NULL,0,0.29,2,N
6iioqclo-p4yk,32,42000,Alugado,4,"Pegamento de dívidas",B,5000,10.08,0,0.12,9,N
lyiwpkno-2tmm,24,39000,Alugado,2,"Pegamento de dívidas",E,16000,19.91,1,0.41,3,S
ee2ml0xs-absk,22,85000,Alugado,0,"Pegamento de dívidas",A,10000,7.66,0,0.12,3,N
ruricmmi-arpz,24,56000,Alugado,0,Empreendimento,C,12000,14.26,0,0.21,2,S
m9ikrzyw-zuin,30,270000,Hipotecada,7,"Reforma residencial",E,35000,19.69,0,0.13,8,N
uyslkglc-owh6,41,55000,Alugado,9,"Pegamento de dívidas",B,12000,12.53,0,0.22,15,N
xr94e2jd-pi8f,22,75000,Alugado,0,"Pegamento de dívidas",A,8000,5.99,0,0.11,3,N
qdeytys1-banz,25,50000,Alugado,0,"Reforma residencial",B,6400,9.91,0,0.13,4,N
kta0yqj2-f66z,26,75000,Hipotecada,2,Empreendimento,A,4000,5.79,0,0.05,3,N
f6zatlb6-goz6,22,46104,Alugado,4,Educação,A,8775,7.29,0,0.19,2,N
rlbabrwi-9zoz,48,30000,Alugado,0,"Pegamento de dívidas",B,6000,12.42,1,0.2,12,N
